Quat_X	Quat_Y	Quat_Z	Quat_W	Roll(deg)	Pitch(deg)	Yaw(deg)
-0.002637	0.007617	-0.155226	0.987846	-0.434042	0.815357	-17.863483
-0.002637	0.007617	-0.155226	0.987846	-0.434042	0.815357	-17.863483
-0.002463	0.008221	-0.155458	0.987805	-0.425302	0.886728	-17.890679
-0.001941	0.006682	-0.156113	0.987715	-0.339254	0.721590	-17.965274
-0.001941	0.006682	-0.156113	0.987715	-0.339254	0.721590	-17.965274
-0.001941	0.006682	-0.156113	0.987715	-0.339254	0.721590	-17.965274
-0.001941	0.006682	-0.156113	0.987715	-0.339254	0.721590	-17.965274
-0.001776	0.007843	-0.156225	0.987689	-0.341455	0.855915	-17.978830
-0.001872	0.005442	-0.157401	0.987518	-0.310012	0.582068	-18.114023
-0.001872	0.005442	-0.157401	0.987518	-0.310012	0.582068	-18.114023
-0.001872	0.005442	-0.157401	0.987518	-0.310012	0.582068	-18.114023
-0.001588	0.006577	-0.157253	0.987535	-0.298244	0.715678	-18.097256
-0.002636	0.006726	-0.159867	0.987112	-0.421423	0.712538	-18.401460
-0.002636	0.006726	-0.159867	0.987112	-0.421423	0.712538	-18.401460
-0.002636	0.006726	-0.159867	0.987112	-0.421423	0.712538	-18.401460
-0.002637	0.007602	-0.158013	0.987404	-0.436069	0.812432	-18.186855
-0.002732	0.005373	-0.168072	0.985756	-0.412110	0.554322	-19.353834
-0.002732	0.005373	-0.168072	0.985756	-0.412110	0.554322	-19.353834
-0.002732	0.005373	-0.168072	0.985756	-0.412110	0.554322	-19.353834
-0.002732	0.005373	-0.168072	0.985756	-0.412110	0.554322	-19.353834
-0.002480	0.005265	-0.167428	0.985867	-0.381204	0.547225	-19.278775
0.000085	0.006064	-0.188711	0.982014	-0.121576	0.684239	-21.756268
0.000085	0.006064	-0.188711	0.982014	-0.121576	0.684239	-21.756268
0.000085	0.006064	-0.188711	0.982014	-0.121576	0.684239	-21.756268
0.000085	0.006064	-0.188711	0.982014	-0.121576	0.684239	-21.756268
0.000791	0.006810	-0.187524	0.982236	-0.057311	0.783528	-21.617554
0.001347	0.007661	-0.216090	0.976342	-0.039004	0.890508	-24.960048
0.001347	0.007661	-0.216090	0.976342	-0.039004	0.890508	-24.960048
0.001347	0.007661	-0.216090	0.976342	-0.039004	0.890508	-24.960048
0.001347	0.007661	-0.216090	0.976342	-0.039004	0.890508	-24.960048
0.001960	0.008525	-0.215869	0.976383	0.008415	1.002357	-24.933929
0.002267	0.005321	-0.249884	0.968258	0.099175	0.655317	-28.941238
0.002267	0.005321	-0.249884	0.968258	0.099175	0.655317	-28.941238
0.002267	0.005321	-0.249884	0.968258	0.099175	0.655317	-28.941238
0.002267	0.005321	-0.249884	0.968258	0.099175	0.655317	-28.941238
0.002557	0.005642	-0.247845	0.968780	0.123634	0.698979	-28.699859
0.003692	0.005444	-0.284799	0.958565	0.227892	0.718497	-33.092966
0.003692	0.005444	-0.284799	0.958565	0.227892	0.718497	-33.092966
0.003692	0.005444	-0.284799	0.958565	0.227892	0.718497	-33.092966
0.003692	0.005444	-0.284799	0.958565	0.227892	0.718497	-33.092966
0.003705	0.005877	-0.282948	0.959110	0.216669	0.766069	-32.871830
0.002144	0.005840	-0.312486	0.949902	0.024258	0.712480	-36.418803
0.002144	0.005840	-0.312486	0.949902	0.024258	0.712480	-36.418803
0.002144	0.005840	-0.312486	0.949902	0.024258	0.712480	-36.418803
0.002144	0.005840	-0.312486	0.949902	0.024258	0.712480	-36.418803
0.002339	0.006738	-0.310812	0.950445	0.014765	0.817190	-36.217180
